#
#
# US Geological Survey, Water Resources Data
# retrieved: 2025-04-29 22:22:57 EDT      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 50049620 QDA. MARGARITA AT CAPARRA INTER. NR GUAYNABO, PR
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		123531	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	50049620	00060	123531	2020	6	3.27
USGS	50049620	00060	123531	2020	7	16.1
USGS	50049620	00060	123531	2020	8	9.65
USGS	50049620	00060	123531	2020	9	12.3
USGS	50049620	00060	123531	2020	10	11.1
USGS	50049620	00060	123531	2020	11	9.26
USGS	50049620	00060	123531	2020	12	4.28
USGS	50049620	00060	123531	2021	1	4.7
USGS	50049620	00060	123531	2021	2	4.61
USGS	50049620	00060	123531	2021	3	11.3
USGS	50049620	00060	123531	2021	4	4.38
USGS	50049620	00060	123531	2021	5	5.11
USGS	50049620	00060	123531	2021	6	10.9
USGS	50049620	00060	123531	2021	7	4.11
USGS	50049620	00060	123531	2021	8	10.6
USGS	50049620	00060	123531	2021	9	8.16
USGS	50049620	00060	123531	2021	10	10.8
USGS	50049620	00060	123531	2021	11	4.59
USGS	50049620	00060	123531	2021	12	8.25
USGS	50049620	00060	123531	2022	1	11.5
USGS	50049620	00060	123531	2022	2	36.2
USGS	50049620	00060	123531	2022	3	4.51
USGS	50049620	00060	123531	2022	4	4.34
USGS	50049620	00060	123531	2022	5	13.8
USGS	50049620	00060	123531	2022	6	3.87
USGS	50049620	00060	123531	2022	7	13.2
USGS	50049620	00060	123531	2022	8	11.8
USGS	50049620	00060	123531	2022	9	28.5
USGS	50049620	00060	123531	2022	10	21.6
USGS	50049620	00060	123531	2022	11	12.4
USGS	50049620	00060	123531	2022	12	4.27
USGS	50049620	00060	123531	2023	1	7.61
USGS	50049620	00060	123531	2023	2	5.23
USGS	50049620	00060	123531	2023	3	3.98
USGS	50049620	00060	123531	2023	4	14.7
USGS	50049620	00060	123531	2023	5	4.52
USGS	50049620	00060	123531	2023	6	3.18
USGS	50049620	00060	123531	2023	7	6.69
USGS	50049620	00060	123531	2023	8	13.6
USGS	50049620	00060	123531	2023	9	5.92
USGS	50049620	00060	123531	2023	10	24.5
USGS	50049620	00060	123531	2023	11	11.1
USGS	50049620	00060	123531	2023	12	10
USGS	50049620	00060	123531	2024	1	4.71
USGS	50049620	00060	123531	2024	2	6.93
USGS	50049620	00060	123531	2024	3	5.03
USGS	50049620	00060	123531	2024	4	9.39
USGS	50049620	00060	123531	2024	5	19.9
USGS	50049620	00060	123531	2024	6	7.24
USGS	50049620	00060	123531	2024	7	11.5
USGS	50049620	00060	123531	2024	8	15.9
USGS	50049620	00060	123531	2024	9	15.5

